indicx,no_cidade
"101.12","Carmo do Cajuru"
"97.43","Conselheiro Lafaiete"
"107.41","Carmo do Paranaíba"
"89.01","Camanducaia"
"112.12","Carmo da Cachoeira"
"112.57","Chapada Gaúcha"
"109.09","Capitão Andrade"
"112.82","Cachoeira de Minas"
"195.34","Campo Azul"
"97.00","Carmo de Minas"
"122.83","Congonhas"
"94.51","Campo Belo"
"93.47","Carvalhos"
"100.00","Cedro do Abaeté"
"106.97","Capela Nova"
"94.80","Cássia"
"261.90","Claraval"
"72.00","Conceição do Pará"
"99.47","Cataguases"
"72.41","Braúnas"
"115.00","Capim Branco"
